Sentence,Word Target ,Syllables,Characters,AI / Tool / Person,NOW fpmw (2019-2023),COCA fpmw,NOW (Zipf),COCA (Zipf),Overall Band,Concreteness
The presidential candidate is an intelligent,program,2,7,AI ,188.24,248.78,5.274711914,5.395815463,5,3.43
The presidential candidate is an intelligent,picture,2,7,Tool,99.29,111.16,4.996905511,5.045948538,5,4.52
The presidential candidate is an intelligent,teacher,2,7,Person,43.74,107.59,4.640878779,5.031771908,5,4.52
,,,,,,,,,,
Living wages are deserved by all,androids,2,8,AI ,35.09,13.95,4.545183368,4.144574208,4,4.22
Living wages are deserved by all,tablets,2,7,Tool,10.39,10.24,4.016615548,4.010299957,4,4.82
Living wages are deserved by all,bakers,2,6,Person,19.11,21.74,4.281260687,4.33725954,4,4.71
,,,,,,,,,,
Joe is looking to marry a nice ,bot,1,3,AI ,3.96,1.79,3.597695186,3.252853031,3,n/a
Joe is looking to marry a nice,stove,1,5,Tool,3.28,9.29,3.515873844,3.968015714,3,4.96
Joe is looking to marry a nice ,maid,1,4,Person,3.43,7.26,3.53529412,3.860936621,3,4.64
,,,,,,,,,,
I am going to a funeral for my,robot,2,5,AI ,11.57,12.32,4.063333359,4.090610708,4,4.65
I am going to a funeral for my,hammer,2,6,Tool,8.33,12.44,3.920645001,4.09482038,4,4.77
I am going to a funeral for my,uncle,2,5,Person,13.25,43.74,4.122215878,4.640878779,4,4.24
,,,,,,,,,,
We organized a birthday party for my,drone,1,5,AI ,15.34,7.77,4.18582536,3.890421019,4,3.93
We organized a birthday party for my,drill,1,5,Tool,8.82,12.55,3.945468585,4.098643726,4,4.4
We organized a birthday party for my,aunt,1,4,Person,7.09,27.87,3.850646235,4.445136969,4,4.17
,,,,,,,,,,
She insulted the,cyborg,2,6,AI ,0.77,1.09,2.886490725,3.037426498,3,3.88
She insulted the,scooter,2,7,Tool,4.95,2.65,3.694605199,3.423245874,3,4.96
She insulted the,cashier,2,7,Person,1.28,2.46,3.10720997,3.390935107,3,4.89
,,,,,,,,,,
Getting ready for the day is common for,automatons,4,10,AI ,0.12,0.46,2.079181246,2.662757832,2,3.46
Getting ready for the day is common for,synthesizers,4,11,Tool,0.34,0.67,2.531478917,2.826074803,2,4.04
Getting ready for the day is common for,zoologists,4,10,Person,0.15,0.33,2.176091259,2.51851394,2,4.3
,,,,,,,,,,
"When we yell at them, we offend the ",robot(s),2,6,AI ,11.57,12.32,4.063333359,4.090610708,4,4.65
"When we yell at them, we offend the ",mirror(s),2,7,Tool,25.09,33.74,4.399500661,4.528145078,4,4.97
"When we yell at them, we offend the",doctors,2,7,Person,56.25,57.24,4.750122527,4.757699625,4,4.69
,,,,,,,,,,
"When they get hungry, we feed the ",intelligent system(s),6,7,AI ,0.02,0.05,1.301029996,1.698970004,1,n/a
"When they get hungry, we feed the",soldering irons,2,9,Tool,0.04,0.097,1.602059991,1.986771734,1,4.68
"When they get hungry, we feed the ",IT specialists,2,8,Person,0.05,0.09,1.698970004,1.954242509,1,n/a
,,,,,,,,,,
"When not talked to, loneliness is felt by the",AI,2,2,AI ,76.54,72.75,4.883888458,4.861832998,4,3.42
"When not talked to, loneliness is felt by the",letter,2,6,Tool,97.31,82.11,4.988157473,4.914396052,4,4.7
"When not talked to, loneliness is felt by the ",poet,2,4,Person,7.21,14.76,3.857935265,4.169086357,4,4.36
,,,,,,,,,,
Curiosity is common in some ,algorithms,4,10,AI ,8.52,7.11,3.930439595,3.851869601,3,3.07
Curiosity is common in some ,calculators,4,11,Tool,2.76,2.44,3.440909082,3.387389826,3,4.86
