"Participant_Private_ID","Participant_External_Session_ID","Sentence_ID","Sentence_Category","Sentence_Text","Trial_Order","Participant_Response","Correct_Answer","Reaction_Time","Is_Correct","Language_Total_Score","Language_Percent_Score","Practice_Outcome","Age","Gender","AI_Familiarity_Score","AI_Knowledge_Score"
14977580,"6979d0bc20b13f8163a97847",29,"Tool","When not talked to, loneliness is felt by the LETTER",1,"implausible","Implausible",841.42,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",26,"Tool","When they get hungry, we feed the SOLDERING IRONS",2,"implausible","Implausible",557.52,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",65,"Tool","Together, I sip wine with my TOOLBOX",3,"implausible","Implausible",705.34,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",39,"Human","After they finish learning, there is a graduation party for  COLLEGE STUDENTS",4,"plausible","Plausible",569.919999999998,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",24,"Human","When we yell at them, we offend the DOCTORS",5,"implausible","Plausible",1199.68,0,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",43,"AI","When successful, happiness is felt by the SMART DEVICE",6,"implausible","Implausible",744.139999999999,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",14,"Tool","We organized a birthday party for my DRILL",7,"implausible","Implausible",815.660000000003,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",15,"Human","We organized a birthday party for my AUNT",8,"plausible","Plausible",744.879999999997,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",57,"Human","Literature is a popular subject to choose to study for PHILOSOPHERS",9,"plausible","Plausible",1140.82,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",35,"Tool","The man became a  BOTTLE",10,"implausible","Implausible",1096.2,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",27,"Human","When they get hungry, we feed the IT SPECIALISTS",11,"implausible","Plausible",967.800000000003,0,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",63,"Human","Music is fun to listen to for SINGERS",12,"plausible","Plausible",1599.54000000001,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",25,"AI","When they get hungry, we feed the INTELLIGENT SYSTEMS",13,"implausible","Implausible",770.119999999995,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",31,"AI","Curiosity is common in some  ALGORITHMS",14,"implausible","Implausible",1493.36,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",40,"AI","All should be allowed to be who they want to be, including VIRTUAL ASSISTANTS",15,"implausible","Implausible",686.619999999995,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",55,"AI","Literature is a popular subject to choose to study for ALGORITHMS",16,"implausible","Implausible",918.880000000005,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",23,"Tool","When we yell at them, we offend the MIRRORS",17,"implausible","Implausible",713.600000000006,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",62,"Tool","Music is fun to listen to for LAPTOPS",18,"implausible","Implausible",711.279999999999,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",11,"Tool","I am going to a funeral for my HAMMER",19,"implausible","Implausible",664.259999999995,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",54,"Human","Some people exploit SOCIAL WORKERS",20,"plausible","Plausible",758.140000000014,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",3,"Human","The presidential candidate is an intelligent TEACHER",21,"plausible","Plausible",837.280000000013,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",59,"Tool","It is nice to greet an ENGINE",22,"implausible","Implausible",865.660000000003,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",50,"Tool","Friends are important for the health of TABLES",23,"implausible","Implausible",803.959999999992,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",42,"Human","All should be allowed to be who they want to be, including GRAPHIC DESIGNERS",24,"plausible","Plausible",611.420000000013,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",28,"AI","When not talked to, loneliness is felt by the AI",25,"implausible","Implausible",852.51999999999,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",4,"AI","Living wages are deserved by all ANDROIDS",26,"implausible","Implausible",1060.60000000001,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",21,"Human","Getting ready for the day is common for ZOOLOGISTS",27,"plausible","Plausible",1428.67999999999,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",9,"Human","Joe is looking to marry a nice MAID",28,"plausible","Plausible",803.940000000002,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",66,"Human","Together, I sip wine with my NEPHEW",29,"plausible","Plausible",552.619999999995,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",12,"Human","I am going to a funeral for my UNCLE",30,"plausible","Plausible",438.899999999994,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",49,"AI","Friends are important for the health of PROGRAMS",31,"implausible","Implausible",647.5,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",38,"Tool","After they finish learning, there is a graduation party for WASHING MACHINES",32,"implausible","Implausible",322.399999999994,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",30,"Human","When not talked to, loneliness is felt by the POET",33,"plausible","Plausible",643.899999999994,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",7,"AI","Joe is looking to marry a nice BOT",34,"implausible","Implausible",552.399999999994,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",51,"Human","Friends are important for the health of STUDENTS",35,"plausible","Plausible",673.260000000009,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",16,"AI","She insulted the CYBORG",36,"implausible","Implausible",983.079999999987,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",1,"AI","The presidential candidate is an intelligent PROGRAM",37,"implausible","Implausible",579.01999999999,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",36,"Human","The man became an ACTOR",38,"plausible","Plausible",701.320000000007,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",10,"AI","I am going to a funeral for my ROBOT",39,"implausible","Implausible",612.320000000007,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",46,"AI","We organized a birthday party for my AI",40,"implausible","Implausible",1099.67999999999,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",58,"AI","It is nice to greet an AI",41,"implausible","Implausible",556.779999999999,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",19,"AI","Getting ready for the day is common for AUTOMATONS",42,"implausible","Implausible",1063.85999999999,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",22,"AI","When we yell at them, we offend the ROBOTS",43,"implausible","Implausible",762.280000000028,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",33,"Human","Curiosity is common in some  LIBRARIANS",44,"plausible","Plausible",1166,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",17,"Tool","She insulted the SCOOTER",45,"implausible","Implausible",622.239999999991,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",45,"Human","When successful, happiness is felt by the BOOK EDITOR",46,"plausible","Plausible",712.320000000007,1,9,100,"Passed_Immediate",41,"Male",100,0.875
14977580,"6979d0bc20b13f8163a97847",53,"Tool","Some people exploit FOOD PROCESSORS",47,"implausible","Implausible",745.640000000072,1,9,100,"Passed_Immediate",41,"Male",100,0.875
